gene_name	omim_inheritance	omim_phenotype
Attp		
ATV	AR	leukemia, acute lymphoblastic, 613065 (3); nijmegen breakage syndrome, 251260 (3), ; aplastic anemia, 609135 (3)
ATX		
ATX1	AD	spinocerebellar ataxia 1, 164400 (3),
ATX2	AD,MF	{amyotrophic lateral sclerosis, susceptibility to, 13}, 183090 (3), ; {parkinson disease, late-onset, susceptibility to}, 168600 (3), ; spinocerebellar ataxia 2, 183090 (3),
ATX3	AD	machado-joseph disease, 109150 (3),
ATXN1	AD	spinocerebellar ataxia 1, 164400 (3),
ATXN10	AD	spinocerebellar ataxia 10, 603516 (3),
ATXN1L		
ATXN2	AD,MF	{amyotrophic lateral sclerosis, susceptibility to, 13}, 183090 (3), ; {parkinson disease, late-onset, susceptibility to}, 168600 (3), ; spinocerebellar ataxia 2, 183090 (3),
ATXN2L		
ATXN3	AD	machado-joseph disease, 109150 (3),
ATXN3L		
ATXN7	AD	spinocerebellar ataxia 7, 164500 (3),
ATXN7-AS1		
ATXN7L3		
ATXN7L3B		
ATXN8	AD	spinocerebellar ataxia 8, 608768 (3),
ATXN8OS	AD,MF	spinocerebellar ataxia 8, 608768 (3), ; {parkinson disease, susceptibility to}, 168600 (3),
AU	AR	alopecia universalis, 203655 (3), ; atrichia with papular lesions, 209500 (3),
AUF1		
augurin		
AUH	AR	3-methylglutaconic aciduria, type i, 250950 (3),
AUNA1	AD	auditory neuropathy, 1, 609129 (3),
AUNX1	XLR,XL	cowchock syndrome, 310490 (3), ; spondyloepimetaphyseal dysplasia, with hypomyelinating leukodystrophy, 300232 (3), ; combined oxidative phosphorylation deficiency 6, 300816 (3), ; deafness, 5, 300614 (3),
AUP1		
AurA	AD	{colon cancer, susceptibility to}, 114500 (3), somatic mutation
AurB		
AurC	AR	spermatogenic failure 5, 243060 (3),
AURKA	AD	{colon cancer, susceptibility to}, 114500 (3), somatic mutation
AURKAIP1		
AURKB		
AURKC	AR	spermatogenic failure 5, 243060 (3),
AUTL1		
AUTL2		
AUTL3		
AUTL4		
AUTS2	AD	mental retardation, 26, 615834 (3),
AUTSX1	XL,MF	{autism susceptibility, 1}, 300425 (3), ; {asperger syndrome susceptibility, 1}, 300494 (3), , isolated cases
AVED	AR	ataxia with isolated vitamin e deficiency, 277460 (3),
AVEN		
AVIL	AR	nephrotic syndrome, type 21, 618594 (3),
AVL9		
AVO3		
AVP	AD,AD	diabetes insipidus, neurohypophyseal, 125700 (3), |familial cold inflammatory syndrome 1, 120100 (3), ; muckle-wells syndrome, 191900 (3), ; cinca syndrome, 607115 (3), ; deafness, 34, with or without inflammation, 617772 (3), ; keratoendothelitis fugax hereditaria, 148200 (3),
AVPI1		
AVPR1		
AVPR1A		
AVPR1B		
AVPR2	XLR,XL	nephrogenic syndrome of inappropriate antidiuresis, 300539 (3), ; diabetes insipidus, nephrogenic, 304800 (3),
AVPR3		
AVSD2	AD	atrioventricular septal defect, partial, with heterotaxy syndrome, 606217 (3), ; {atrioventricular septal defect, susceptibility to, 2}, 606217 (3),
AVT2		
AWAL		
AWAT1		
AWAT2		
AWMS1		
AWMS2	AR	acrodermatitis enteropathica, 201100 (3),
AWP1		
AWS	AD	?deafness, congenital heart defects, and posterior embryotoxon, 617992 (3), ; alagille syndrome 1, 118450 (3), ; tetralogy of fallot, 187500 (3),
AWT1	AD	mesothelioma, somatic, 156240 (3); wilms tumor, type 1, 194070 (3), somatic mutation; frasier syndrome, 136680 (3), somatic mutation; denys-drash syndrome, 194080 (3), somatic mutation; meacham syndrome, 608978 (3); nephrotic syndrome, type 4, 256370 (3),
AXA1	AR	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 (3),
AXAM2		
AXER		
AXIIR		
AXIN1		hepatocellular carcinoma, somatic, 114550 (3); ?caudal duplication anomaly, 607864 (3)
AXIN2	AD	colorectal cancer, somatic, 114500 (3); oligodontia-colorectal cancer syndrome, 608615 (3),
AXL		
AXLLG		
AXOR12	AR,AD	hypogonadotropic hypogonadism 8 with or without anosmia, 614837 (3), ; ?precocious puberty, central, 1, 176400 (3),
AXOR35		
AXOT		
AXPC1	AR	ataxia, posterior column, with retinitis pigmentosa, 609033 (3),
AXSF		
AXT	AR	?epilepsy, myoclonic, familial adult, 5, 615400 (3),
AXUD1		
AYP1	AR	aicardi-goutieres syndrome 3, 610329 (3),
AYST720		
AYTL1		
AYTL2		
AYTL3		
AZ1		
AZ2		
AZ3B		
AZAMP		
AZFA	YL	spermatogenic failure, 2, 415000 (3),
AZGP1		
AZI		
AZI1		
AZI2		
AZIN1		
AZIN2		
AZU		
AZU-1		
AZU1		
B	AR	osteogenesis imperfecta, type ix, 259440 (3),
B-50		
B-ALPHA-1	AD	lissencephaly 3, 611603 (3),
B-ATF		
B-DIOX-II		
b-ENAP		
B-FABP		
B-ind1		
B-MYB		
b-PROTEIN	AR	[skin/hair/eye pigmentation, variation in, 11 (melanesian blond hair)], 612271 (3); albinism, oculocutaneous, type iii, 203290 (3),
b-R1		
b-TG1		
B'-T		
b(2)gcn		
B1	AR,AR	?immunodeficiency, common variable, 5, 613495 (3), |bardet-biedl syndrome 9, 615986 (3),
B10		
B12	AR	mitochondrial complex i deficiency, nuclear type 25, 618246 (3),
B120	AD	coffin-siris syndrome 2, 614607 (3),
B13		
B14	AR	mitochondrial complex i deficiency, nuclear type 33, 618253 (3),
B14.5a		
B14.5b	AR	mitochondrial complex i deficiency, nuclear type 36, 619170 (3),
B14.7	AR	mitochondrial complex i deficiency, nuclear type 14, 618236 (3),
B144		
B15		
B16.6	AR	?mitochondrial complex i deficiency, nuclear type 28, 618249 (3), ; {thyroid carcinoma, hurthle cell}, 607464 (3)
B166		
B17	AR	microcephaly-micromelia syndrome, 251230 (3), ; microcephaly, short stature, and limb abnormalities, 617604 (3),
B17.2	AR	?mitochondrial complex i deficiency, nuclear type 23, 618244 (3),
B17.2L	AR	mitochondrial complex i deficiency, nuclear type 10, 618233 (3),
B18		
B1BKR		
B1F2		
B2-1		
B22	AR	?mitochondrial complex i deficiency, nuclear type 24, 618245 (3),
B23		leukemia, acute myeloid, somatic, 601626 (3)
B27	AR	glucocorticoid deficiency 2, 607398 (3),
B28		
B29	AR	agammaglobulinemia 6, 612692 (3),
B2AR	AD,AR,MF	{asthma, nocturnal, susceptibility to}, 600807 (3), ; {obesity, susceptibility to}, 601665 (3), , ; beta-2-adrenoreceptor agonist, reduced response to (3)
B2G1		
B2M	AR,AD	immunodeficiency 43, 241600 (3), ; ?amyloidosis, familial visceral, 105200 (3),
B2MR		
B3-1		
B37	AD	dentatorubral-pallidoluysian atrophy, 125370 (3), ; congenital hypotonia, epilepsy, developmental delay, and digital anomalies, 618494 (3),
B3BP		
B3GALNT1		[blood group, globoside system], 615021 (3); [blood group, p1pk system, p(k) phenotype], 111400 (3)
B3GALNT2	AR	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type a, 11, 615181 (3),
B3GalT-V		
B3GALT1		
B3GALT2		
B3GALT3		[blood group, globoside system], 615021 (3); [blood group, p1pk system, p(k) phenotype], 111400 (3)
B3GALT4		
B3GALT5		
B3GALT6	AR	al-gazali syndrome, 609465 (3); ehlers-danlos syndrome, spondylodysplastic type, 2, 615349 (3), ; spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3),
B3GALT7		
B3GALTL	AR	peters-plus syndrome, 261540 (3),
B3GAT1		
B3GAT2		
B3GAT3	AR	multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects, 245600 (3),
B3Glc-T	AR	peters-plus syndrome, 261540 (3),
B3GLCT	AR	peters-plus syndrome, 261540 (3),
B3GN-T1	AR	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13, 615287 (3),
B3GN-T2		
B3GN-T3		
B3GN-T4		
B3GN-T5		
B3Gn-T6		
B3GNT-2		
B3GNT-3		
B3GNT1	AR	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13, 615287 (3),
B3GNT2		
B3GNT3		
B3GNT4		
B3GNT5		
B3GNT6	AR	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13, 615287 (3),
B3GNT7		
B3GNT8		
B3GNTL1		
B3GTL	AR	peters-plus syndrome, 261540 (3),
B3T5		
B4-2		
B4GalNac-T3		
B4GALNT1	AR	spastic paraplegia 26, 609195 (3),
B4GALNT2		
B4GALNT3		
B4GALNT4		
B4GALT1	AR	congenital disorder of glycosylation, type iid, 607091 (3),
B4GALT2		
B4GALT3		
B4GALT4		
B4GALT5		
B4GALT6		
B4GALT7	AR	ehlers-danlos syndrome, spondylodysplastic type, 1, 130070 (3),
B4GAT1	AR	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13, 615287 (3),
B5		
b5+b5R		
B52		
B55		
B55beta	AD	spinocerebellar ataxia 12, 604326 (3),
B55D		
B55delta		
B55gamma		
B56A		
B56alpha		
B56B		
B56beta		
B56D	AD	mental retardation, 35, 616355 (3),
B56delta	AD	mental retardation, 35, 616355 (3),
B56E		
B56epsilon		
B56G		
B56gamma		
B61		
B6P	AR	ectodermal dysplasia/skin fragility syndrome, 604536 (3),
B7-1		
B7-2		
B7-DC		
B7-H		
B7-H1		
B7-H2		
B7-H3		
B7-H4		
B7-H5		
B7-H6		
B7-H7		
B7.1		
B7.2		
B7323	AD	hypotrichosis 1, 605389 (3),
B7h		
B7H1		
B7H2		
B7H3		
B7H4		
B7H5		
B7H7		
B7RP-1		
B7RP-2		
B7RP1		
B7S1		
B7x		
B7y		
B8	AR	mitochondrial complex i deficiency, nuclear type 13, 618235 (3),
B9	AR	?meckel syndrome 9, 614209 (3), ; joubert syndrome 27, 617120 (3),
B94		
B9D1	AR	?meckel syndrome 9, 614209 (3), ; joubert syndrome 27, 617120 (3),
B9D2	AR	joubert syndrome 34, 614175 (3), ; ?meckel syndrome 10, 614175 (3),
B9L		
bA100C15.3	AR,AD	ovarian dysgenesis 5, 617690 (3), ; spermatogenic failure 32, 618115 (3),
bA101E13.1		
bA103J18.3		
bA106M7.3		
bA108K14.1		
bA108K14.6	AR	?premature ovarian failure 12, 616947 (3), ; ?spermatogenic failure 15, 616950 (3),
bA108L7.8	AR	usher syndrome, type iic, gpr98/pdzd7 digenic, 605472 (3), digenic ; deafness, 57, 618003 (3), ; {retinal disease in usher syndrome type iia, modifier of}, 276901 (3),
bA113O24.1		
bA119F7.1		
bA11D8.2.1		
bA120J8.2		trichothiodystrophy 3, photosensitive, 616395 (3)
bA121O19.1		
bA122O1.1		
bA129M16.2		
bA12D24.1.1		
bA12D24.1.2		
bA12J10.2		
bA131P10.1	AR	leukodystrophy, hypomyelinating, 14, 617899 (3),
bA136M9.1		
bA140A10.5		
bA142I17.1		
bA145L22	AD	diabetes mellitus, transient neonatal 1, 601410 (3),
bA145L22.2	AD	diabetes mellitus, transient neonatal 1, 601410 (3),
bA149I18.1		
bA157L14.2		
bA160A10.4		
bA160E12.4		
bA163M19.1		
bA165O3.1		
bA166P24.2	AR	retinitis pigmentosa 25, 602772 (3),
bA186O14.2		
bA186O14.3	AR	ichthyosis, congenital, 8, 613943 (3),
bA188C12.1	AD	kleefstra syndrome 1, 610253 (3),
bA196N14.1		
BA2		
bA203I16.5		
bA203J24.5		
bA203J24.7		
bA204B7.2	AR	epilepsy, progressive myoclonic 2b (lafora), 254780 (3),
bA204B7.3		
bA207C16.1	AR	catifa syndrome, 618761 (3),
bA208F1.2		
bA20A20.1		
bA214N16.3		
bA216B9.3	AR	short-rib thoracic dysplasia 11 with or without polydactyly, 615633 (3),
bA216C10.1		
bA216L13.10		
bA216L13.7		
bA216L13.9		
bA218C14.1		
bA219P18.1		osteogenesis imperfecta, type xiv, 615066 (3)
bA225H22.7		
bA22L21.1	AR	mitochondrial complex i deficiency, nuclear type 15, 618237 (3),
bA234K24.2		
bA235O14.1		
bA235O14.2		
bA243J16.5		
bA243J16.6		
bA243O10.1		
bA255A11.3		
bA257K9.4		
bA259P20.2		
bA261N11.2		
bA261N11.3		
bA265G8.2		
bA288G11.4		
bA288G11.5		
bA288G3.1		
bA28H17.2		
bA295P9.4	AR	?corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia, 616819 (3),
bA2K17.3		
BA2R	XL,XLR	dystonia-parkinsonism, 314250 (3), ; mental retardation, syndromic 33, 300966 (3),
bA304I5.1		
bA305P22.1		
bA305P22.3		
bA307F22.3	AR	retinitis pigmentosa 25, 602772 (3),
bA307O14.2		
bA311H10.1		
bA314N13.5		
bA317E16.2		
bA317E16.3		
bA325O24.3		
bA325O24.4		
bA33E24.2		
bA340N12.1		
bA345L23.2		
bA346C16.3	AD	developmental and epileptic encephalopathy 87, 618916 (3),
bA346K17.2	AR	neurodevelopmental disorder with brain anomalies, seizures, and scoliosis, 618590 (3),
bA348N5.3	AR	?bardet-biedl syndrome 18, 615995 (3),
bA34D15.5		
bA350J20.1		
bA350O14.10		
bA350O14.9		
bA351K16.2		
bA351K16.3	AR	combined oxidative phosphorylation deficiency 11, 614922 (3),
bA353C18.2		
bA355M14.1	AR	muscular dystrophy, limb-girdle, 26, 618848 (3),
bA356B19.6		
bA360D14.1		
bA360O19.2	AD,AR	adult i phenotype without cataract, 110800 (3), ; cataract 13 with adult i phenotype, 116700 (3), ; [blood group, ii], 110800 (3),
bA364G4.2		
bA36D19.5		
bA370F5.1		
bA371L19.1	AR	brown-vialetto-van laere syndrome 1, 211530 (3), ; ?fazio-londe disease, 211500 (3),
bA371L19.3		
bA373N18.1		
bA373N18.2	AD,AR	hydrocephalus, normal pressure, 1, 236690 (3), ; spermatogenic failure 19, 617592 (3),
bA375E1.3		
bA379C10.2		
bA379J5.3		
bA379P1.3		
bA37E23.1		
bA393I2.3	AD	intellectual developmental disorder, 64, 619188 (3),
bA395P17.9		
bA397G5.3		
bA397G5.4		
bA398O19.2		
bA399O19.2		
bA3L8.2		
bA408E5.3		
bA416N4.2	AD	?myasthenic syndrome, congenital, 18, 616330 (3),
bA418P12.1		
bA4204.1		
bA420G6.2		
bA421M1.1	AD,AR	adult i phenotype without cataract, 110800 (3), ; cataract 13 with adult i phenotype, 116700 (3), ; [blood group, ii], 110800 (3),
bA421M1.5		
bA421M1.6		
bA421P11.2		
bA421P11.3	AR	pontocerebellar hypoplasia, type 1c, 616081 (3),
bA421P11.4		
bA422P15.2		
bA425M17.2		
bA427L11.2		
bA427L11.3		
bA428J1.3		
bA42B19.1		
bA430M15.1	AR,AD	hypotonia, infantile, with psychomotor retardation and characteristic facies 1, 615419 (3), ; congenital contractures of the limbs and face, hypotonia, and developmental delay, 616266 (3),
bA444E17.1	AR	combined oxidative phosphorylation deficiency 8, 614096 (3), ; leukoencephalopathy, progressive, with ovarian failure, 615889 (3),
bA444G7	AD	li-fraumeni syndrome, 609265 (3); osteosarcoma, somatic, 259500 (3); {prostate cancer, familial, susceptibility to}, 176807 (3), somatic mutation; {breast cancer, susceptibility to}, 114480 (3), somatic mutation; {breast and colorectal cancer, susceptibility to} (3)
bA446F17.4		
bA449O16.3		
bA451M19.3		
bA457M11.2		
bA457M11.3		
bA459F3.4		
BA46		
bA460E7.2		
bA465L10.1		
bA465L10.2	AR	microcephaly 10, primary, 615095 (3),
bA465L10.6		
bA49A4.1		
bA49G10.5		
bA500C11.2		
bA500G10.4		
bA500G22.3		
bA503C24.7		
bA504H3.3	AD	corneal dystrophy, posterior polymorphous, 1, 122000 (3),
bA504H3.4	AR	mitochondrial dna depletion syndrome 11, 615084 (3),
bA506K6.1	AD	cortical dysplasia, complex, with other brain malformations 7, 610031 (3),
bA514O12.3	AR	leukoencephalopathy, cystic, without megalencephaly, 612951 (3),
bA51G5.2	AD	{?obesity, susceptibility to, bmiq18}, 615457 (3),
bA522I20.2		
bA526K24.1		
bA528A10.3		
bA531F24.1		
bA535K18.1	XL,XLD,XLR	reducing body myopathy, 1a, severe, infantile or early childhood onset, 300717 (3), ; scapuloperoneal myopathy, 300695 (3), ; reducing body myopathy, 1b, with late childhood or adult onset, 300718 (3), ; ?uruguay faciocardiomusculoskeletal syndrome, 300280 (3), ; emery-dreifuss muscular dystrophy 6, 300696 (3), ; myopathy, with postural muscle atrophy, 300696 (3),
bA541I19.1		
bA541N10.2	AR	cerebroretinal microangiopathy with calcifications and cysts 2, 617341 (3),
bA548K23.4		
bA548K23.8		
bA550O8.2		
BA554C12.1		
bA554P13.1		spermatogenic failure 49, 619144 (3)
bA555E18.1		
bA561O23.1		
bA570G20.3		
bA571F15.4		
bA574F11.2		
bA57K17.2	AD	lissencephaly 10, 618873 (3),
bA57L9.1		
bA59I9.3	AR	coenzyme q10 deficiency, primary, 3, 614652 (3),
bA613M10.3		
bA631M21.2	AR,AD	oocyte maturation defect 2, 616780 (3),
bA63L7.3		
bA69L16.7		
bA6B20.2	AR	mitochondrial complex iii deficiency, nuclear type 7, 615824 (3),
bA723P2.3		
bA74E24.1	AR	retinitis pigmentosa 25, 602772 (3),
bA77C3.1		
bA787I22.1	AR	spermatogenic failure 38, 618433 (3),
bA792D24.4	AR	mitochondrial complex v (atp synthase) deficiency, nuclear type 6, 618683 (3),
bA810I22.1	AR	methylmalonic aciduria and homocystinuria, cblf type, 277380 (3),
bA98I6.3		
bA98I9.2		
BAALC		
BAAT	AR	bile acid conjugation defect 1, 619232 (3), ; hypercholanemia, familial, 607748 (3),
BAAT1	AR	rigidity and multifocal seizure syndrome, lethal neonatal, 614498 (3), ; neurodevelopmental disorder with cerebellar atrophy and with or without seizures, 618056 (3),
BABAM1		
BABAM2		
BABL	AD	silver-russell syndrome 5, 618908 (3),
BABP	AR	46xy sex reversal 8, 614279 (3),
BACE		
BACE1		
BACE1-AS		
BACE1-AS1		
BACE1AS		
BACE2		
BACH		
BACH-1		
BACH1	AD	fanconi anemia, complementation group j, 609054 (3); {breast cancer, early-onset, susceptibility to}, 114480 (3), somatic mutation
BACH2	AD	immunodeficiency 60, 618394 (3),
BAD		
BAD-LAMP		
BAF	AR	nestor-guillermo progeria syndrome, 614008 (3),
BAF155		
BAF170	AD	coffin-siris syndrome 8, 618362 (3),
BAF180		
BAF190	AD,AD	{rhabdoid tumor predisposition syndrome 2}, 613325 (3), ; coffin-siris syndrome 4, 614609 (3), |nicolaides-baraitser syndrome, 601358 (3),
BAF200	AD	coffin-siris syndrome 6, 617808 (3),
BAF250	AD	coffin-siris syndrome 2, 614607 (3),
BAF250a	AD	coffin-siris syndrome 2, 614607 (3),
BAF250b	AD	coffin-siris syndrome 1, 135900 (3),
BAF45a		
BAF45b		
BAF45c		
BAF45d	AD	coffin-siris syndrome 7, 618027 (3),
BAF47	AD	rhabdoid tumors, somatic, 609322 (3); {schwannomatosis-1, susceptibility to}, 162091 (3), ; coffin-siris syndrome 3, 614608 (3), ; {rhabdoid tumor predisposition syndrome 1}, 609322 (3),
Baf53a		
BAF53A		
BAF53B	AR,AD	developmental and epileptic encephalopathy 76, 618468 (3), ; intellectual developmental disorder with severe speech and ambulation defects, 618470 (3),
BAF57	AD	{meningioma, familial, susceptibility to}, 607174 (3), ; coffin-siris syndrome 5, 616938 (3),
BAF60A	AD	coffin-siris syndrome 11, 618779 (3),
BAF60B	AR	specific granule deficiency 2, 617475 (3),
BAF60C		
BAFF		
BAFFR	AR	immunodeficiency, common variable, 4, 613494 (3),
BAG1		
BAG2		
BAG3	AD	cardiomyopathy, dilated, 1hh, 613881 (3), ; myopathy, myofibrillar, 6, 612954 (3),
BAG4		
BAG5		
BAG6		
BAGE		
BAGE1		
BAGE2		
BAGE3		
BAH	AR	traboulsi syndrome, 601552 (3),
BAHCC1		
BAHD1		
BAHD2		
BAI1		
BAI2		
BAI3		
BAIAP1		
BAIAP2		
BAIAP2L1		
BAIAP2L2		
BAIAP3		
BAK		
BAK1		
BAL		
BAL1		
BALGR		
BAM	AD	cornelia de lange syndrome 3, 610759 (3),
BAM22	AR	keratitis-ichthyosis-deafness syndrome, 242150 (3),
BAM32		
bamacan	AD	cornelia de lange syndrome 3, 610759 (3),
BAMBI		
BANF	AD	meningioma, nf2-related, somatic, 607174 (3); schwannomatosis, somatic, 162091 (3); neurofibromatosis, type 2, 101000 (3),
BANF1	AR	nestor-guillermo progeria syndrome, 614008 (3),
BANK		
BANK1		
BANP		
BAP	AR	marinesco-sjogren syndrome, 248800 (3),
BAP-1		
BAP-135		
BAP1	AD	tumor predisposition syndrome, 614327 (3),
BAP18		
BAP2		
BAP3		
BAP31	XLR,XL	deafness, dystonia, and cerebral hypomyelination, 300475 (3),
Bap37		
BAPX1	AR	spondylo-megaepiphyseal-metaphyseal dysplasia, 613330 (3),
BAPX2		
BAR	AD,AR,MF	{asthma, nocturnal, susceptibility to}, 600807 (3), ; {obesity, susceptibility to}, 601665 (3), , ; beta-2-adrenoreceptor agonist, reduced response to (3)
BARD1	AD	{breast cancer, susceptibility to}, 114480 (3), somatic mutation
BARHL1		
BARHL2		
BARK1		
BARK2		
BARMR1	AR	?polydactyly, postaxial, type a9, 618219 (3),
BARR2		
BARS	AD	hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome, 617915 (3),
BART	AR,AR	retinitis pigmentosa with or without situs inversus, 615434 (3), |sensorineural deafness with mild renal dysfunction, 602522 (3), ; bartter syndrome, type 4a, 602522 (3),
BART1	AR	retinitis pigmentosa with or without situs inversus, 615434 (3),
BARX1		
BARX2		
BASE		
BASH	AR	?agammaglobulinemia 4, 613502 (3),
BASP1		
BASS1	AD	zttk syndrome, 617140 (3),
BAT	AR	bile acid conjugation defect 1, 619232 (3), ; hypercholanemia, familial, 607748 (3),
BAT1		
BAT2		
BAT2D1		
BAT2L2		
BAT3		
BAT4		
BAT5		
BAT8		
BATF		
BATF1		
BATF2		
BATF3		
BAX		t-cell acute lymphoblastic leukemia, somatic, 613065 (3); colorectal cancer, somatic, 114500 (3)
BAXI1		
Baz		
BAZ1A		
BAZ1B		
BAZ2A		
BAZ2B		
BAZF		
Bazooka		
BB1	AR	mental retardation, 57, 617188 (3),
bB137A17.2		
bB137A17.3		
bB152O15.1	AD	retinitis pigmentosa 60, 613983 (3),
BB1R		
BB2		{malaria, cerebral, susceptibility to}, 611162 (3)
BB2R		
BB3		
bB379O24.1	AR,AD	congenital heart defects, multiple types, 5, 617912 (3),
BB3R		
bB439H18.3		
BBAP		
BBC1	AD	spondyloepimetaphyseal dysplasia, isidor-toutain type, 618728 (3),
BBC2		
BBC3		
BBF2H7		
BBG-TCC		
BBH		
BBIP1	AR	?bardet-biedl syndrome 18, 615995 (3),
BBIP10	AR	?bardet-biedl syndrome 18, 615995 (3),
BBOX		
BBOX1		
BBOX2	XL,XLR	{autism, susceptibility to, 6}, 300872 (3),
BBP		
BBR3		
BBS	AR	bardet-biedl syndrome 2, 615981 (3), ; retinitis pigmentosa 74, 616562 (3),
BBS1	AR	bardet-biedl syndrome 1, 209900 (3), digenic
BBS10	AR	bardet-biedl syndrome 10, 615987 (3),
BBS11	AR	?bardet-biedl syndrome 11, 615988 (3), ; muscular dystrophy, limb-girdle, 8, 254110 (3),
BBS12	AR	bardet-biedl syndrome 12, 615989 (3),
BBS13	AR	bardet-biedl syndrome 13, 615990 (3), ; joubert syndrome 28, 617121 (3), ; meckel syndrome 1, 249000 (3),
BBS14	AR	?bardet-biedl syndrome 14, 615991 (3), ; leber congenital amaurosis 10, 611755 (3); senior-loken syndrome 6, 610189 (3), ; meckel syndrome 4, 611134 (3), ; joubert syndrome 5, 610188 (3),
BBS15	AR	?bardet-biedl syndrome 15, 615992 (3), ; congenital heart defects, hamartomas of tongue, and polysyndactyly, 217085 (3),
BBS16	AR	bardet-biedl syndrome 16, 615993 (3), ; senior-loken syndrome 7, 613615 (3)
BBS17	AR	bardet-biedl syndrome 17, 615994 (3),
BBS18	AR	?bardet-biedl syndrome 18, 615995 (3),
BBS19	AR	?bardet-biedl syndrome 19, 615996 (3),
BBS2	AR	bardet-biedl syndrome 2, 615981 (3), ; retinitis pigmentosa 74, 616562 (3),
BBS20	AR	retinitis pigmentosa 71, 616394 (3), ; short-rib thoracic dysplasia 10 with or without polydactyly, 615630 (3),
BBS21	AR	retinitis pigmentosa 64, 614500 (3), ; bardet-biedl syndrome 21, 617406 (3), ; cone-rod dystrophy 16, 614500 (3),
BBS2L1	AR	bardet-biedl syndrome 7, 615984 (3),
BBS3	AR	retinitis pigmentosa 55, 613575 (3); bardet-biedl syndrome 3, 600151 (3), ; {bardet-biedl syndrome 1, modifier of}, 209900 (3), digenic
BBS4	AR	bardet-biedl syndrome 4, 615982 (3),
BBS5	AR	bardet-biedl syndrome 5, 615983 (3),
BBS6	AR	bardet-biedl syndrome 6, 605231 (3), ; mckusick-kaufman syndrome, 236700 (3),
BBS7	AR	bardet-biedl syndrome 7, 615984 (3),
BBS8	AR	bardet-biedl syndrome 8, 615985 (3), ; ?retinitis pigmentosa 51, 613464 (3),
BBS9	AR	bardet-biedl syndrome 9, 615986 (3),
BC-2		
BC006151		
BC008134		
BC017397		
BC022889		
BC037316		
BC10		
bca	AR	?agammaglobulinemia 4, 613502 (3),
BCA-1		
BCA3		
BCAA		
BCAM	AR,AR	?hypervalinemia or hyperleucine-isoleucinemia, 618850 (3), |[blood group, lutheran null], 247420 (3), ; [blood group, lutheran system], 111200 (3); [blood group, auberger system], 111200 (3)
BCAN		
BCAP		
BCAP31	XLR,XL	deafness, dystonia, and cerebral hypomyelination, 300475 (3),
BCAP37		
BCAR1		
BCAR2		
BCAR3		
BCAR4		
BCAS1		
BCAS2		
BCAS4		
BCAS4L		
BCAT1		
BCAT2	AR	?hypervalinemia or hyperleucine-isoleucinemia, 618850 (3),
BCATc		
BCATm	AR	?hypervalinemia or hyperleucine-isoleucinemia, 618850 (3),
BCCIP		
BCCIPalpha		
BCD1		gastric cancer, somatic, 613659 (3); prostate cancer, somatic, 176807 (3)
BCD541	AR,AR	{spinal muscular atrophy, type iii, modifier of}, 253400 (3), |spinal muscular atrophy-2, 253550 (3), ; spinal muscular atrophy-3, 253400 (3), ; spinal muscular atrophy-1, 253300 (3), ; spinal muscular atrophy-4, 271150 (3),
BCDIN3		
BCDO	AD	?hypercarotenemia and vitamin a deficiency, 115300 (3),
BCDO1	AD	?hypercarotenemia and vitamin a deficiency, 115300 (3),
BCDO2		
BCEI		
BCG1	XLR,XL	bartter syndrome, type 5, antenatal, transient, 300971 (3),
BCGF-1		
BCGF1		
BCH	AD	{thyroid cancer, nonmedullary, 1}, 188550 (3), ; chorea, hereditary benign, 118700 (3), ; choreoathetosis, hypothyroidism, and neonatal respiratory distress, 610978 (3),
BCHE	AR	{apnea, postanesthetic, susceptibility to, due to bche deficiency}, 617936 (3), ; butyrylcholinesterase deficiency, 617936 (3),
BCKAD-E2	AR	maple syrup urine disease, type ii, 248600 (3),
BCKDH-E2	AR	maple syrup urine disease, type ii, 248600 (3),
BCKDHA	AR	maple syrup urine disease, type ia, 248600 (3),
BCKDHB	AR	maple syrup urine disease, type ib, 248600 (3),
BCKDK		branched-chain ketoacid dehydrogenase kinase deficiency, 614923 (3)
Bcl-2		leukemia/lymphoma, b-cell, 2 (3)
BCL-B		
BCL-G		
BCL-W		
Bcl-X		
bcl-xL		
bcl-xS		
BCL1	AD	{colorectal cancer, susceptibility to}, 114500 (3), somatic mutation; {von hippel-lindau syndrome, modifier of}, 193300 (3), ; {multiple myeloma, susceptibility to}, 254500 (3), somatic mutation
BCL10	AR	?immunodeficiency 37, 616098 (3), ; {male germ cell tumor, somatic}, 273300 (3); lymphoma, malt, somatic, 137245 (3); {sezary syndrome, somatic} (3); {lymphoma, follicular, somatic}, 605027 (3); {mesothelioma, somatic}, 156240 (3)
BCL11A	AD	dias-logan syndrome, 617101 (3),
